,id,original_title,genres,story,cast,director,screenplay,keywords
0,tt0042184,Afsar,"['Comedy', 'Romance']","Synopsis Has been Written by Mr Rais Asghar  My Uncle  on 20 August 2018 (Rashid Ashraf)AFSAR-1950Though not a blast from the past  the golden era of Indian cinema  film ""AFSAR"" of 1950  starring Dev Anand  Suriya with Kanhaiya Lal  Zohra Sehgal etc. Director Chetan Anand  Producer Dev Anand  though a really enjoyable classical comedy deep-set in a historical reality  seems to have been lost from the memory of even really old film lovers just as it has actually been lost from prints as neither DVD or Internet is available anywhere in Pakistan or even in India.The story is skillfully set in the last era of British rule when after several historical land reforms in the subcontinent  the government faced the gigantic problem of assessing the actual incomes of landlords to net them in for state revenues. For purpose of direct assessments revenue officers were deputed  while for a larger number of indirect assessments  persons were sent and dispersed to villages in disguise of varying ...","['Dev Anand', 'Suraiya', 'Ruma Guha Thakurta', 'Kanhaiyalal Chaturvedi', 'Rashid Khan', 'Manmohan Krishna', 'Mohan Segal', 'Krishan Dhawan', 'Anand Pal', '']",['Chetan Anand'],"['Chetan Anand', 'Nikolay Gogol']","['director chetan', '1950 starring', 'really enjoyable', 'kanhaiya lal', 'even really', 'several historical']"
1,tt0042207,Arzoo,"['Musical', 'Romance']",Badal  a clown villager and Kammo are childhood neighbors and grown up playing with each other. They never knew when they fell in love while growing up. They want to marry but Kammo's father is against this marriage as Badal is doing nothing for living. Kammo asks Badal to go to city to work and earn. While Badal is leaving in the late night a sick & old relative arrives. Badal asks him to rest in his room and to inform his family members about his migration in the morning. The room catches fire because of ignorance of the old man and he is charred to death but Badal's family  Kammo and all villagers take Badal as dead as they do not know the truth. Badal joins Indian army and returns after few years/months only to find that Kammo is married to wealthy Thakur. Rather than leaving Kammo on her own  he decides to take revenge  befriends Thakur  pretends loving Thakur's sister and stays around Kammo. Upon knowing Kammo & Badal's past affair Thakur shoot Badal but Kammo takes the bullet ...,"['Kamini Kaushal', 'Dilip Kumar', 'Shashikala', 'Neelam', 'Arif', 'Ganju', 'Seeta Bose', 'Ram Shastri', 'Kamlakar', 'Chanda', 'Zaidi', 'Cuckoo', '']",['Shaheed Latif'],"['Ismat Chughtai', 'Asghar Jafri']","['take revenge', 'past affair', 'badal joins', 'villagers take', 'old relative', 'upon knowing']"
2,tt0042233,Bawre Nain,"['Drama', 'Romance']",Chand lives in a small rural town in India. He is unable to pay the rent  and his landlord evicts him. He re-locates to another town and meets with a young woman named Tara. Both are attracted to each other. Chand is unable to secure employment in this town  and moves elsewhere. Tara waits for several months  but does not hear anything from him. So she decides to go and look for him  hoping to re-kindle her love. She is shocked and surprised to find him with an attractive woman named Rajni  who claims that Chand is her betrothed and both are to get married soon.,"['Raj Kapoor', 'Geeta Bali', 'Vijayalaxmi', 'Jaswant', 'Pesi Patel', 'Manju', 'Sharda H. Rai', 'Bankey', 'Nazira', 'Prakash', 'Siraj Syed', 'Darpan', 'Kanta', '']",['Kidar Nath Sharma'],"['Akhtar Mirza', 'Kidar Nath Sharma']","['attractive woman', 'young woman', 'get married', 'small rural', 'tara waits', 'several months']"
3,tt0042380,Dastan,"['Drama', 'Family', 'Romance']",Indira (Suraiya) is an orphan brought up the strict and uprighteous Rani (Veena). Indira grows up to be a beauty and is sought by three suitors Raj (Raj Kapoor)  Kundan (Al Nasir)  and Ramesh (Suresh). Rani does not like Indira to marry into her family as both Raj and Kundan are her brothers  and she wants Indira to marry Ramesh  and as such arranges a meeting with Ramesh's mom (Pratima Devi) and finalizes the marriage. Indira does not appreciate this and refuses to marry Ramesh. Raj speaks of his love with Rani  and Rani warns him that Indira is to marry Ramesh  but also has an on-going affair with his brother Kundan. Who does Indira really love? Will she ever marry her dream man?,"['Suraiya', 'Raj Kapoor', 'Veena', 'Suresh', 'Al Nasir', 'Pratima Devi', 'Murad', 'S.N. Banerjee', 'Laxman', 'Surendra', 'Shakila', 'Baby Anwari', 'Swartha', '']",['Abdul Rashid Kardar'],"['S.N. Banerjee', 'Jagdish Kanwal', 'S.K. Prem']","['three suitors', 'indira really', 'veena ).', 'suresh ).', 'raj speaks', 'raj kapoor']"
4,tt0043306,Awaara,"['Drama', 'Musical', 'Romance']",Raju lives as a derelict as a result of being estranged from his bitter father  a district judge  who threw Raju's mother out of the house years ago. Raju shacks up with a Dacoit (pickpocket bandit) as his surrogate father only to realize that the man is actually responsible for the original misunderstanding between his parents. Raju kills him  and then tries killing his father  but fails  is arrested  and is taken to court right before his very own father  who presides there as the Judge. Raju has his childhood girlfriend as his legal representative  and the onus is now on his father  who must pass judgment without showing any personal sentiment.,"['Prithviraj Kapoor', 'Nargis', 'Raj Kapoor', 'K.N. Singh', 'Shashi Kapoor', 'Cuckoo', 'B.M. Vyas', 'Leela Mishra', 'Baby Zubeida', 'Leela Chitnis', ""Honey O'Brien"", 'Om Prakash Mehra', 'Raju', 'Mansaram', '']",['Raj Kapoor'],"['Khwaja Ahmad Abbas', 'V.P. Sathe']","['must pass', 'house years', 'tries killing', 'pickpocket bandit', 'personal sentiment', 'original misunderstanding']"
5,tt0043307,Baazi,"['Crime', 'Drama', 'Musical']",Madan comes from a poor family background. Unable to find employment  he takes to gambling in a big way. He makes a lot of money  and decides to open a gambling den  where he makes even more money. He meets with sophisticated and cultured Dr. Rajani  and both are attracted to each other. But Rajani's dad does not approve of Madan nor of his background  and would prefer that Rajani marry Inspector Ramesh. Rejected  Madan meets with vivacious and outgoing Meena  and romances her. Then Inspector Ramesh arrests Madan and imprisons him for the murder of Meena  who was killed with a revolver with Madan's fingerprints on it.,"['Dev Anand', 'Geeta Bali', 'Kalpana Kartik', 'Roopa Verman', 'K.N. Singh', 'Johnny Walker', 'Krishan Dhawan', 'Rashid Khan', 'Habib', 'Srinath', 'Rashid Ahmed', 'Abu Baker', '']",['Guru Dutt'],"['Guru Dutt', 'Balraj Sahni']","['inspector ramesh', 'rajani marry', 'poor family', 'rejected madan', 'madan comes', 'would prefer']"
6,tt0043310,Bahar,['Drama'],A singer and dancer par excellence  Lata lives a wealthy lifestyle with her dad  Choudhry Goverdhanlal Patwardhanlal and mom. Her parents would like her to get married to wealthy Shekhar  who she initially approves of. Shortly thereafter she meets with Vasant Kumar and both fall in love with each other. When Shekhar finds out that Lata does not want to marry him  he is enraged and starts to investigate Vasant's background. He finds out that Vasant's real name is Ashok  who is a writer for a magazine 'Bahar  has a relationship with a woman  and also has a son. Watch what happens when Lata and her family are provided with this information and the manner in which they react to this news.,"['Karan Dewan', 'Vyjayanthimala', 'Pran', 'Om Prakash', 'Leela Mishra', 'Sunder', 'Tabassum', 'Indira Acharya', '']",['M.V. Raman'],['Rajendra Krishan'],"['dancer par', 'dad choudhry', 'parents would', 'wealthy shekhar', 'wealthy lifestyle', 'shortly thereafter']"
7,tt0044318,Aan,"['Action', 'Adventure', 'Drama']",A Royal Indian family consists of the Emperor Maharaj (Murad  his brother Shamsher Singh (Premnath) and sister Rajshree (Nadira). A poor villager named Jai Tilak (Dilip Kumar) enters a contest to tame Princess Rajshree's horse and after he is successful Shamsher challenges him to a game of fencing. Jai is declared the winner of the fight after much dispute and Shamsher is enraged at losing to a poor villager. Jai then falls in love with Rajshree and tries numurous times to woo her but the princess's arrogance prevents her from revealing her true feelings. Shamsher becomes even more enraged when the Emperor Maharaj reveals that Shamsher is not the heir to his throne after his death and that he plans to free India from dictation and turn to democracy. Shamsher then plans to gain control of the kingdom by killing the Maharajah on the night before he is due to travel to England for a medical procedure. However he is unsuccessful after the Maharajah escapes an attempt on his life by ...,"['Dilip Kumar', 'Nimmi', 'Prem Nath', 'Nadira', 'Sheela Naik', 'Mukri', 'Murad', 'Nilambai', 'Cuckoo', 'Maya', 'Abdul', 'Agha Miraz', '']",['Mehboob Khan'],"['R.S. Choudhury', 'S. Ali Raza']","['poor villager', 'royal indian', 'tries numurous', 'successful shamsher', 'shamsher becomes', 'emperor maharaj']"
8,tt0044360,Anhonee,"['Drama', 'Romance', 'Thriller']",Lucknow-based impoverished advocate  Rajkumar Saxena  complains to his landlord about the deplorable condition of his apartment but is instead told by the latter's daughter  Roop  to pay his outstanding rent for over 6 months or face legal action. He approaches her father  Harnam Singh  who not only lets him live there for free  but also befriends him  and invites him to Roop's birthday party. Roop gets impressed when he sings there and invites him for dinner along with her father. Before he could attend  he is asked to represent a courtesan client  Mohini  who is facing eviction by her landlord. He finds her resemblance to Roop quite unusual and mentions this during their dinner. This news apparently shocks Harnam  who gets hospitalized and subsequently passes away. Mohini  who is injured in an accident  retains him to sue Roop as she claims to be her sister  but the latter decides to let Mohini move in with her and share the estate. The latter's satisfaction will turn to bitterness ...,"['Nargis', 'Raj Kapoor', 'Agha', 'David Abraham', 'Achala Sachdev', 'Badri Prasad', 'Om Prakash', 'Jankidas', 'Salma', 'Shaukat Hashmi', 'Moti Bina', '']",['Khwaja Ahmad Abbas'],"['Khwaja Ahmad Abbas', 'Mohsin Abdullah', 'V.P. Sathe']","['based impoverished', 'news apparently', 'subsequently passes', 'face legal', 'father harnam', 'let mohini']"
9,tt0044392,Baiju Bawra,"['Drama', 'Musical', 'Romance']",A young singer  in the time of Emperor Akbar the Great  sets out to avenge his father  killed in a disturbance near the house of a member of the Court.,"['Meena Kumari', 'Bharat Bhushan', 'Surendra', 'Kuldip Kaur', 'Bipin Gupta', 'Manmohan Krishna', 'B.M. Vyas', 'Mishra', 'Radhakrishan', 'Kesari', 'Rajan Haksar', 'Tabassum', 'Rai Mohan', 'Bhagwanji', '']",['Vijay Bhatt'],"['R.S. Choudhury', 'Zia Sarhadi', 'Ramchandra Thakur', 'M.K. Zokey']","['young singer', 'great sets', 'father killed', 'emperor akbar', 'disturbance near', 'time']"
